,Quote,Keyword
60,The weaker person is the more he gets hung up on other people's pain and then he self-destructs,weaker
61,"That's ridiculous. People usually have a stereotypical idea, or an assumption like that and that's what creates a blind spot",stereotypical
62,"In this small universe, it's an endless cycle of winning and losing until you begin losing your mind.",small
63,Physical wounds will definitely bleed and may look painful ,wounds
67,A real man never goes back on his words!,real
68,No one knows what the future holds in life.  We must take that endless bit of darkness and turn it to our advantage.  ,endless bit
69,"What is right... what is wrong... you can't easily tell the difference. That's why you must keep thinking, whether what you are doing is right or not. That act itself, alone, can be called right.",act
70,People live to save themselves. ,live
71,"Be on the Side that saves people, if both sides are the same, become a good man. ",saves
72,"Don't believe in the me that believe in you, don't believe in the you that believes in me, believe in yourself who believes in you! ",raw
73,Advantages and disadvantages come hand in hand. That is inevitable,inevitable
74,"Yes, we have no destiny. Only those swallowed up by ignorance and fear who take false steps, shall plunge us into the waters called “destiny”. ",swallowed
75,"As long is you still draw breathe, there is no way to escape having to bid others farewell.  It doesn't matter if you're human or not...we all have to say good-bye.",matter
76,"When saying good-bye to this world, our great father split his blood into four: the eldest inherited only his sense of responsibility, the second eldest inherited only his easygoing personality, the youngest inherited only his innocence, and me, well, I inherited only his idiocy.  What held us diverse brothers together was the love of our mother, deeper than the sea, and the farewell we bid our great father.  Sometimes, one profound separation can unite the ones left behind.  ",good-bye
77,Haven't you ever thought that life would be better if it was a game?,thought
78,Game!? Is life a game to you?...Life is not a game!!,life a game
79,"Stand up! lift your faces! Take up your weapons! Look at that boy. He's so weak and fragile a breath could blow him away and he's unarmed! He is a powerless boy, whose defeat I have seen with my own eyes! He's weaker than anyone else here! Yet he's shouting louder than anyone that we can still do this so how can we sit down, with downcast gaze? If our weakest man has not given up how is kneeling in defeat acceptable for us? Did you come this far to wallow in shame? ",powerless
80,"I wanted to tell you that… Wherever you may end up in this world, I will be searching for you.",wanted
81,Why does the scenery of a town that no longer exists wring my heart so?,scenery
82,"If I suddenly showed up, would I bother him? Surprise him? There’s no way we could meet. But what if we did? What should I do? Would I annoy him? Would it be awkward? Or maybe… He’d be a bit glad to see me?",bit glad
83,"Once in a while when I wake up, I find myself crying. The dream I must’ve had, I can never seem to recall...But the sensation that I’ve lost something lingers for a long time after I wake up.",dream
84,Treasure the experience. Dreams fade away after you wake up.,fade
85,"I can't surpress my feeling anymore. When she gets confused, I will still her back. Yes I know I am selfish, I don't care. ",selfish
86,Your unconditional trust is more than I'm willing to bear.,unconditional
87,"""Isn't it okay? Even if you and someone meet for just a moment, that moment passes by...You might meet again somewhere, isn't that okay?""",moment passes
88,But maybe life isn't about counting all the things you've lost.,life
89,Nobody thinks they're cuter than others unless they're conceited.,cuter
90,"Hotaru, do you think the day will come that I'll lose it (the ability to see spirits) as well?  A one-sided visit and troublesome days...is that freedom? or...At that time, a small firefly (Hotaru) passed by and whispered something to me.  But I could not understand the words of a bug.  Farewell, Hotaru.  I wonder if that person understood...just that person.",one-sided
91,"We probably are.  I can't explain it very well, but it seems that lately it doesn't matter, human or spirit.  If your hearts touch, it's the same thing.  When you're all alone, you get lonely, and the first step is always scary.",step
93,"People who’ve had lots of failures talk about those failures as if to imply that if they have another life, they’ll be a big success. After facing all that hardship, they think they won’t mess up again. But they’re all - me included, of course - making a fundamental mistake. Failures know a lot about failure, sure. But knowing failure is completely different from knowing success. Fixing your mistakes doesn’t mean success takes their place - you’ve just got a point to start at, is all. That’s something failures don’t understand.",lots
94,"""If you close down the way to your own path, it will always open up. That's why this isn't a song of ending. It is a new encounter. A song of beginning.""",beginning
95,"I really do like you. You pissed me off, so I considered giving up for a minute, but I'd never lie about my feelings. So I won't quit. Even if you don't believe me now, I'll keep saying it until you do! I'll keep trying! This isn't over!",quit
96,Better to ask and be a fool once than never to ask and be a fool forever.,forever
97,"There is great value in the time spent in ones own company, but a life time of total isolation is a fate no one should endure.",great
98,I won't be defeated because I know how awful it feels to lose after doing my very best!,defeated
99,"If you're alone... if it's just your life, you can use it however you please/ Wear yourself out, get cut to ribbons, doesn't matter. But when there's two, the blade grows heavy. Fighting like death doesn't concern you becomes a thing of the past. It's no longer just you. I threw away my way of life, relied on the strength of others, and somehow pushed on.",longer
100,Every phenomenon that happens in the human world is caused by people for their own convenience.,phenomenon
101,The scars that you can't see are the hardest to heal.,scars
102,"You can run from your past all you want, but it will always follow you. Forever and ever and ever and ever.",Forever
103,"Having too many bonds causes one to lose focus, weakening their strongest wish, their greatest desire. ",bonds
104,"The moment people come to know love, they run the risk of carrying hate.",moment
105,There are times like that music can convey more than words. ,times
106,Trying to improve by learning from others that is what calls friendship.,improve
107,"Freedom is something that you need to actively acquire. It's not something that's given with no strings attached. To be free means to take responsibility, and to prepare yourself for what's to come.",free
108,"All people are nothing but tools. It doesn't matter how it's done. It doesn't matter what needs to be sacrificed. In this world, winning is everything. As long as I win in the end...That's all that matters.",long
109,Evil expects evil from others.,expects
110,It's not bad to dream. But you also have to consider what's realistic. ,realistic
111,Humans are creatures that always get hurt and feel regret whenever they make a choice on something. ,creatures
112,"This epidemic leads innocent people to their deaths, and yet it's pathogen will never be eradicated. This is a disease called serenity, a form of death that people have wished for.",disease
113,"A sword wields no strength, unless the hand that holds it has courage. ",sword
114,"Things would have been so much better back then... If we had heard each other's voices. I hate myself. I was selfish, and I never thought about anyone else's feelings. Since then, my classmates have all looked down on me. I've lived for seventeen years, and I haven't lived one of them as a good person. The only time I heard your voice was when we got into that fight. And what pisses me off the most is the fact that I haven't changed at all since back then! But.,. But now, I think I can understand what you were saying... Nishimiya. Me and you... Can we be... friends? Shit!! I went way too far!! I was just gonna apologize and get out of here! Why the hell did I end up asking her to be friends?... Why did I even say that?! Jeez, that's so embarrassing! How can you even say that? ",heard your voice
115,"Just your touch... gets me excited. It makes me so happy. But those feelings will all turn into pain. The happier I am now, the more it'll hurt. I know how cruel this is... but no matter how hard I try, I can't rid myself of this. Nejima-kun... I... don't know... what love is.",love
116,"*to Jyugo* You're such a gloomy Gus, aren't you? You're so gloomy, indecisive, and so pessimistic. You're also dull, have bad handwriting, can't learn, insensitive, weak, a slow runner, a poor talker, and a poor liar. You really can't do anything other than break out of jail. Also you have short legs. But... that means you have lots of character traits, right? That's all you need to know for now, don't you think? If you don't know something, we'll teach you. We're gonna make your life more fun. It doesn't matter whether we're in jail or hell. If we live happily, we win. So let's take it slow and make sure you'll enjoy tomorrow.",dull
117,"Back then, if we could have have heard each other's voices, everything would have been so much better.",heard
118,"Even though you like someone already, your partner is decided for you... and you can't do anything about that crush. Because everyone keeps getting in the way... and saying you can't... But... when you're the one in love... the only thing that feels true... is that feeling.",thing
119,There's more to a real man than just his good looks!,real
120,"If I'm going to disappear no matter what, I at least want to leave them having fun and smiling.",disappear
121,"If you take someone at puberty, a teen... introduce him or her to a member of the opposite sex around the same age and say, ""This is the person who was meant for you""... and then go on to spend a lot of time together... why wouldn't you fall for them?",fall
122,I want you to please understand the scales of my heart will always be swaying back and forth. But there is something you should know. I will never lean to one side or the other due to the weight of gold coins.,lean
123,"Even though everything is going to disappear, it isn't supposed to be meaningless. It's exactly because you know you're going to part ways, that now and only now is your only chance.",part
124,"I don't really want you to understand... I just don't want you to be like, 'Oh, is that all'? I don't need people to get it. These feelings... are important to me, and they're just for me.",important
125,It's a programmer's job to make the most of limited resources to turn an impractical idea into reality.,programmer
126,"Making sure I have no regrets... that would just be self-serving, nothing more. It's all right. I mean, this is a great memory in itself, right?",great
127,There are things I don't want to forget... Memories of time spent with friends. Memories of time spent with her alone. Memories are important. But there's something even more important... That's to continue making memories.,continue making memories
128,"I have no fear of watching you grow old while I remain young. I'll even watch you on your death bed. I am no stranger to death. But your heart is like that of an innocent child. It has always accepted everything about me, without hesitation. Because of that I am very afraid.",heart
129,"I yearn for true gender equality. I have no patience for one who talks about female privilege when it suits them, and then complains about someone ""not being a man"" when it's convenient.",patience
130,"But... If you're the kind of person who can devote herself like that to someone, then I'll bet you anything there's someone out there who'll fall in love with you.",kind
131,"Yeah, if I saw her smiling to herself while reading this, I might think it was creepy. But there's something wrong with people who talk trash and laugh behind another's back, too.",wrong
132,"Stop pouting! You learned something valuable. Remember the lesson, not the disappointment.",learned
133,"You're right. Whether I ever see that girl again or not, that doesn't change the fact that this promise is important to me. I'm gonna go on treasuring it.",gonna
134,Lies are told prevent yourself from getting hurt.,told
135,I believe that there's not a single person whose heart is evil.,single
136,What is love?,love
138,I do not want to wake from my dream and discover that I am all alone. I am tired of being alone! I do not want to be cold! I do not want to be lonely!,lonely
139,People don't fall in love based on looks. And that's a scientific fact.,scientific
140,The ones who accomplish something are the fools who keep pressing onward. The ones who accomplish nothing are the wise who cease advancing.,wise
141,"I am Horo the Wise Wolf, and I am a very proud wolf.",proud
142,"Just walk the path you believe in. And don't forget, you're the main character of your own life story!",main
143,"I am not so grand, not as a god. I am Horo, and Horo is all that I am.",Horo
144,"To hell with living a life of revenge, I'm me! I live for myself! You're not my sworn enemy or anything else. You're nothing but a putrid demon!",putrid
145,Explosion!!!,Explosion
146,"The only one who can decide your worth.. is you. If you want to earn something, you need to reach out for it. Pro-athletes give up their teenage years to train. Business owners put up collateral to borrow money. That's how it always works. To make your ambitions come true, you have to take risks. The larger the ambition the greater the risk. That might involve time or enough work to affect your lifespan... So make your choice. Live in peace as a wannabe or risk losing it all to reach the very top. You're the one who needs to decide.",give
147,Who'd want to date girls that talk smack about your friends?,date
148,"I have so many things I want to say, so many things I want to ask you, but... When I see your face... None of that matters anymore!",matters
149,"The amount of money one owns ultimately decides the victor. This doesn't stop within the walls of a casino, or it's cash flow. It's a rule that forms the basis for a capitalist society!",rule
150,The lifespan of a human is certainly way too short. That's why you've got to make the most of it and live your life to the fullest.,make
151,"It's true that you're lacking in ability. That's because you don't work at it. However, you have a natural potential. That's why I chose you.",chose
152,"Enjoy your life today. Yesterday is gone, and the tomorrow might never come.",tomorrow
154,"Why do I want to win so much...? Everyone takes up soccer for different reasons. But we all have a passion for the sport... That drive carries us through a game, even if we lose. If we win, it pushes us forward to the next game. The winners of the game honour the losers by playing with everything they have... and until we hit a wall, until a better team beats us, we should try our best, instead of running away. That's what I want to do!",winners
155,"I want to reply with a long message, but if it's too long, that might be kind of revolting. But if it's too short, then I might come off as cold instead. Feeling apprehensive of what to do, I decided to reply back with a similar word count instead. This was what they called ""mirroring"" in psychology. By emulating the actions of the other party, your affection levels would increase!",party
156,A road is something that you make yourself.,road
157,"If what I wished for was granted to me, if what I wanted was given to me. Then, as I thought, I wouldn't wish for anything nor want anything. Because the things you were granted and the things you were given were surely shams that would one day be lost. ",surely
160,"It' because you were embarrassed, frustrated, bitter, and jealous. If there's a time when those ill feelings surfaced, then there's also going to be a time where you restrained yourself, smiled, and then cut your relationships afterwards.",ill
163,I don't think I'll learn anything if I don't try to do something about it on my own.,learn
164,"If you've got energy to spend on feeling guilty, then use it to show your gratitude.",energy
165,"To realize a mistake. To not lie. To love one another. To not kill. Those are very simple things, but these times won't allow for them. There is no green on this planet, even though we want it... though we want it so badly. A place where we can live peaceful days with no wars nor stealing. A sacred place where people can live as people. Yes there, that place is called Paradise.",peaceful
166,"Compared to failing without even trying, I'd rather take action, even at the risk of a mistake.",failing
167,"No matter what you're doing, the most essential thing is to not give up. Fail as many times as it takes. Keep trying persistantly untill you can call yourself 'avarage'. If you can collect a nice group of avarage-level skills, that's already above-avarage. You've created your own sort of 'talent'.",collect
168,"It's easy to say ""choose so that you'll have no regrets,"" but that's impossible. No matter how hard you've agonized over your path, you'll always regret something about it later. That's just how we humans are made. Which is why I think our true feelings are important. If you choose your path based on your true feelings, it'll hurt just a little less when you feel the same regret, right?",choose your path
169,"Someone told me this: ""Nothing is ""forever"" in human relationships"". That might be true, but it sounds awfully lonely. But I realized today... If there really is no such thing as ""forever""... Then having someone important is the happiest thing one can attain in life.",happiest thing
170,"Instead of judging others based on rumors and gossip articles, I must look and feel for myself. You cannot know anyone without coming face-to-face with them.",coming
171,"If at some point in life, you made a mistake or keep failing over and over again, and you can't help but think it's useless and you're a good for nothing",point
172, Success is harder than failure for many things in this world.,harder
173,You're wrong. It's not the world that's messed up,world that messed
174,"Even if we walk on different paths, one must always live on as you are able! You must never treat your own life as something insignificant! You must never forget the friends you love for as long as you live! Let bloom the flowers of light within your hearts.",bloom
175,There is no such thing as truth in this world. That is our reality. Anyone can become a God or a Devil. All it takes is for someone to claim that to be the truth.,claim
176,"Those who forgive themselves, and are able to accept their true nature... They are the strong ones!",strong
177,"People's lives don't belong to anyone. Anyone, except themselves. But people have a path. The path of how to use that life.",life
178,"Unfortunately, I don't have a nice eyeball like you, that can see this and that. All I can do to pursue one thing in front of me. So whether it's the abyss of death or an empty void, I won't fight for the manju offered to my grave. I'll fight for tomorrow's breakfast. That's all.",abyss
179,You shouldn't judge something without trying it first. Having a variety of experiences is what makes life worth living.,makes life worth
180,"Well it's not like the world is full of sunshine and daisies. If society was only shaped by the view that one must be happy-go-lucky all the time, Hollywood wouldn't make tear-jerking movies, would they? ",society
181,"There isn't anything that's evil to everyone. Even the worst evil saves something. On the other hand, even the greatest good hurts someone. The phrase ""There are no absolutes in this world"" means there isn't any absolute good or absolute evil.",good or absolute
182,"Being angry consumes energy and makes me tired. So I'd rather apologize, even if I'm not at fault. Besides, we get along, and we both want to stay friends. Prolonging an awkward situation out of stubbornness is just silly.",awkward
183,"You're absolutely right. I can't do anything alone.  Everyone has their flaws and imperfections, but that's what drives us to work together... To make up for those flaws. Together, we make the perfect main character. ",make the perfect
184,Miracles are illusions caused by insufficient observation and understanding. They're just... glorious misunderstandings.,glorious
185,"Smile. Not for anyone else, but for yourself. Show yourself your own smile. You'll feel better then.",feel
186,"Every day, the words cross my mind.  ""If I had done this back then..."" but they don't take the sincere form of regret.  The words are just an excuse that come to my mind then disappear.",excuse
187,"I'd talk, but... I fell into the habit of not saying what I really felt, somewhere along the way. And then I started believing that there wasn't anything... that I really wanted to tell anyone.",started
188,"It's not like people only look for help by saying ""please help me."" In similiar vein, it's not like you're only in love with someone if you say ""I love you."" Everyone has things they can't say on impulse.",things
189,"Pride is an eminent trait, but too much will cause arrogance. That is when it becomes disgusting.",disgusting
190,It's not like something is going to happen because I believe in it.  Sometimes you end up worse off because you believed in something too much. There are times it's tough to believe in something.,times
191,"I intended to listen to your voice, but it really was nothing but intentions. It's pretty obvious, huh? Of course there's more going on than what people choose to tell you... But I convinced myself that was all there is to a person. I knew that, but still I interpreted the stuff I didn't understand about you in ways convenient for me... That's just how I am.",knew
192,"Today might be the chance to grasp the chance to let your talent bloom. Maybe tomorrow, the day after, or next year... Maybe even when you're thirty. I'm not sure if physique has anything to do with it, but if you think that it will never come, it probably never will.",physique
195, but their own power results in their destruction. — Finite.,power
198,Simplicity is the easiest path to true beauty.,easiest
199,"Stop pitying yourself. Pity yourself, and life becomes an endless nightmare.",life
200,"For a pregnant woman to give birth, she's gotta feel the pain of pulling a watermelon out of her nostril. For an Artist to create a masterpiece, he's gotta feel the pain of pulling entire galaxies out  of his ass.",pregnant
201,You can only become friends by talking to people and finding out whether you get along.,friends
202,Anything I would never want to lose is always lost. It is a given that everything that is worth wanting will be lost the moment I obtain it. There's nothing worth pursuing at the cost of prolonging a life of suffering.,pursuing
203,"The two of us aren't so different. My whole life I've desired from others. I felt bitter to the people around me and I closed off my heart...and a heart that lets nothing in..will become empty before you realize it. But in this world, you'll sometimes meet meddlesome people who will, even without asking, give you the love you need. And for someone like you or me, meeting such a person is very blissful.",meet
204,"You can become happy right now."" I won't say these types of absurd lies. However, if you get through these current hardships and survive - a time where you can be happy will come.",current
205,"It may be hard right now... But you must silence those thoughts! Stop counting only those things that you have lost! What is gone, is gone! So ask yourself this: What is there... that still remains to you?!",remains
206,A castle that vanishes at the first gust of wind is worthless. A skyscraper within your mind will never fall down.,skyscraper
207,"What's important is not what's right, but what we believe is right.",important
208,"Unlike in manga and anime, in real life, no heroes can save you when you're down.",manga
209,"Even if everyone in the whole world dies, I won't care, as long as my beloved survives.",world
210,I believe the difference between those up there and me is the question of whether you have given up or not.,difference
211,"People don't kill people, really. Monsters do. Monsters like war, hungry nobles, and greedy kingdoms. And monsters like me, not you.",Monsters like war
212,Our lives become a reality through the most meticulous calculations. Doing our best to continue living is a resolution ingrained in all of us. And this shapes the right future for us. You could say it is life’s greatest mystery. I want to observe the destination reached by the many lives that are created.,observe the destination
213,This world offers no guarantees for the future.,world
214,It's times like this that I wish I could come up with an appropriate response.  I hate myself for not being able to reply properly.  ,hate
215,"Leaving my mother's body, for the first time I learned the chill of cold air and the warmth of human hands.",mother
220,And the one person who I thought understood me was just using me all along. No one ever treated me as an equal. Adults are all trash. They didn't listen when I said that it hurt. They didn't listen when I told them to stop. They didn't listen to anything I said!,told
221,"That’s just the way it is. Change is inevitable. Instead of resisting it, you’re better served simple going with the flow.",resisting
222,"Man fears death and yet, at the same time, man is drawn to death. Death is endlessly consumed by men in cities and in literature. It is a singular event in one's life that none may reverse. That is what I desire.",reverse
223,"While it takes time to recover from the loss of a loved one, having an opportunity to take your mind off things helps too.",time
224,"The root of all your evil is in always relying on one of your other possibilities to get your wish. You must accept that you are the person here, now, and that you cannot become anyone else other than that person.",accept
225,"No matter how careful your risk hedging is, there will still be holes in your plan! Realizing them and making sure that they are promptly dealt with, is the duty of those who stand at the top.",making
226,Smiles are what connect people! It allows them to communicate through their souls! Souls that are connected... Will never lose to power that only relies on control!,lose to power
227,Your god is a fragment of your imagination from your weakness.,god
228,"I have no idea what you really want, what you're really thinking, or what the right thing to do really is. But I'm your friend. Let me stay.",stay
229,"Anyway, here's my point. Trivial setbacks like yours and mine are nothing but common occurrences in everyday life! Getting hung up over pointless crap like that shows that you're a joke! A complete and utter joke!",complete
230,Remember that a sword held by someone who is about to die… will never be able to protect anything. ,sword
231,"Life isn't about counting all the things you've lost, It's about increasing the number of important things in it.",counting
232,"Jojo, being human means having limits. I've learned something. The more carefully you scheme, the more unexpected events come along",carefully
233,Do not live bowing down. You must die standing up. ,die standing
234,Evil is when you use the weak for your own gain and crush them under your foot.,weak
235,"Are you afraid? You don’t want to die, do you? Not just Abarai, if anyone… acts upon the thought of not wanting you to die, you will suddenly begin to fear your impending death, right? ",thought
236,Courage must know fear and make fear its own! Fear upsets breathing! Conquer fear and your breath will never fail you! Hamon breathing comes from courage! A good human is a brave human! Courage is a marvel of humanity!,good
237,"A city far away from my homeland.  There, after becoming acquainted with strangers, have I changed, perhaps?  That uncontrollable impulse I harbored within me...Has it faded away now, I wonder? What exactly am I doing here in this city?",uncontrollable
238,"Each one of them has something to improve. Victory doesn't come from technique or power alone. In the end, what's needed is a heart that won't give up. The only question is -- Do they have what it takes to push beyond their limits?",question
239,Have a dream that you can achieve within your lifetime!,dream
240,Old techniques created by others will never be your own. Only what you create and experience for yourself can become your own.,create
241,"All the people I saw from my cage...All the things I saw from my cage, that was the whole world to me. At first, all I could sense was the hostility of the people looking at me from outside...And their feelings of fear. Piercing gazes, hurled stones, whips, sticks...Everything outside the cage was frightening, a source of pain...But eventually I began to realize something. I began to see their other emotions, not just their hostility and fear of me. They were the emotions of families, lovers, and friends who came to the sideshow...Emotions meant for each other.",sense
242,"Don’t hesitate to cut the enemy. Don’t falter to finish them off. Much less heal their wounds. That’s unspeakable, nino. Leave the chocolate here. Become a demon, nino. As strong as a demon. As wicked as a demon. You have to learn that the only way to stand up against ruthlessness, is to become ruthless yourself.",ruthlessness
243,I want everyone to feel safe again soon...I want this to be a world where people can without fighting each other.,feel
244,Those three are best friends.  They have their respective secrets.  And they're deliberately trying not to give themselves away.  But neither Orihara or Shizuo had any secrets whatsoever.  And that resulted in the complete opposite kind of personal relationship.,complete opposite
245,"You are fighting out of obligation, not out of hatred. You will never reach me like that. Battle without hatred is like a bird without wings. You’ll never defeat anyone like that. You powerless friends are just weights that will break your legs. ",powerless
246,"You see, I really hate the word ""responsibility"" saying something or doing something ""it's your responsibility"" ""take responsibility"" making a ""selection"" always comes with ""responsibility."" That's why I abandoned ""selection"" therefore, I don't have to bear any responsibility anymore. ",bear any responsibility
247,You cannot go into battle believing you will lose.,battle
248,"I'll give you some wise words, Shining Sleepless General. All heroes die of overwork.",heroes die
249,Don’t be so stuck-up. Just enjoy this! Killing and being killed. They are just a way to pass time. ,pass
250,"Sometimes things go badly, even if nobody really did anything wrong.",things
251,"It doesn't make a difference whether you have a talent or not. I mean, that isn't the end goal. You have greater freedom than we do. All I have are games. But you can go anywhere and become anything.",greater
252,"You guys sure are a worthless bunch. If you wanna wallow in your tears, save it for after you've done everything you can!",wanna
253,"Who wouldn't want their friends to be happy? That's just normal, man. It's nothing amazing.",amazing
254,"As a human, what kind of achievements will you leave behind?  I bet you'll leave behind a legacy as a psychotic killer, and that thrills me!",bet
255,"Charging from the front isn't the only way to cross a wall. If pushing doesn't work, why not try pulling? Try thinking from the opposite direction, you might be able to find a new way out.",thinking
256,"i'm on a little boat. I'm going against the current of the river, downstream to upstream. If you want something more, you move forward with all your might. If you try to stop, you fall behind. Humans can never stop moving. If they do not yearn for something... Right! Nothing begins without action! You gain nothing if you do nothing! Satisfaction is stagnation! Stagnation is death! I want to know! See! Feel! Experience! Understand! This monster is amazing, but we know nothing about him! This monster strength was amazing. He won every battle he fought! The ultimate soldier! Now it's a war between vampires? I have to thank the Servamp of Melancholy! In every era, wars have created progress!",Feel
257,"In some ways, the more one thinks, the closer one feels to getting the answer...but in the end, it's hard to tell what is really the safe answer. I started to dislike being like that at one point, and my motto is, ""make quick decisions and act fast."" I choose the first answer that feels ""right"" to me.",started
258,Let those who seek death find it.,seek
259,Having everything handed to you on a silver platter doesn't necessarily equate to happiness. There are too many choices that you don't even want...,choices
260,We need to stop living for others. From now on...Let's live for ourselves!!,live
261,"I love fighting, but even more than that, I hate losing! I only fight to win!!",fight
262,After everything I've faced.... Having a future with you snatched away from me ...is definitely the most terrifying thing I've ever had to endure....,future
263,"Love. I myself have never loved another person.  Most likely, I don't even love myself.  I do have knowledge of it.  But I am incapable of determining whether or not it is vital in my life.  ",incapable of determining
264,"It's a battle of life and death, and I'm still alive! So I'm not going to give up, and I'll keep living. I'll keep living until I die.",die
265,In order to achieve something there are some things that you have to be unsatisfied with in the first place. Having a complex is the source to greatness.,complex
266,"If I'm not at my limit, means I'm not trying as hard as I can!",hard
267,"There are only so many lives I can value. And...I decided who those people were six years ago. So...You shouldn't try to ask for my pity. Because right now, I don't have...Time to spare or room in my heart.",spare
268,"Kill me. Make it quick. I no longer have the strength left in me to even walk. If you do not cut me down now, then this will go unsettled for eternity.",cut
269,"If there's any possibility that I might visit this city again...Then I challenge you to a duel.  I wish to speak with you head-on, to within an inch of my life...To actually experience the joy of existing in this world...that is my desire.",speak
270,"Well, if they're dead, then that's the end of it. Crying about it gets you nothing but an empty stomach",empty
271,We fall into a routine and make careless mistakes because of that. Maybe it'd be good for us to have some excitement or be under pressure once in a while.,good
272,"Wealth is a nightmare. With each coveted thing we buy, we lose a thing we dream about.",coveted
273,"I want to survive...And see her again. As a person, I'm really lower than shit...But she knows that, and she smiles kindly at me anyway.",lower
274,"You are human, are you not? You are allowed to make mistakes.",allowed
275,"Love provides the worth of everything in the world. Without love...gold, silver, horses, and women...all are worthless.",women
276,"A true hero is a sage with a clean heart, a fake hero is a fool with an ignoble heart. The sage will be saved and the fool will be punished.",saved
277,Okay. I will protect all of you. I will never let another friend die.,friend
